iter	RMSE
0	34.60494784
50	15.37894029
100	13.8156002
150	13.19652918
200	12.74872653
250	12.38854377
300	12.07458861
350	11.72629155
400	11.36766892
450	11.04223038
500	10.74632311
550	10.45980836
600	10.20788781
650	9.991234526
700	9.792871537
750	9.61182946
800	9.444572178
850	9.272842076
900	9.10823451
950	8.932251165
1000	8.784137147
1050	8.645295632
1100	8.514270498
1150	8.39037137
1200	8.248720336
1250	8.118882341
1300	8.000520895
1350	7.875070089
1400	7.765223438
1450	7.663433384
1500	7.559941917
1550	7.446921374
1600	7.355758551
1650	7.262914129
1700	7.174538413
1750	7.081217421
1800	6.990139119
1850	6.90900087
1900	6.813474818
1950	6.741959539
2000	6.667000034
2050	6.59395517
2100	6.516860109
2150	6.442551831
2200	6.368273124
2250	6.299521723
2300	6.234177724
2350	6.166759899
2400	6.098554004
2450	6.038834903
2500	5.977949094
2550	5.913459939
2600	5.852264282
2650	5.790820196
2700	5.733743303
2750	5.67177562
2800	5.617615257
2850	5.56708237
2900	5.511386475
2950	5.456328422
3000	5.408616049
3050	5.358910445
3100	5.308523514
3150	5.256002558
3200	5.202089656
3250	5.154215038
3300	5.101587905
3350	5.057352537
3400	5.000786387
3450	4.948024326
3500	4.904949679
3550	4.861228337
3600	4.810473679
3650	4.769064069
3700	4.723400768
3750	4.67939718
3800	4.633142977
3850	4.59238189
3900	4.553987273
3950	4.513822312
4000	4.472537034
4050	4.438780749
4100	4.398815376
4150	4.359334628
4200	4.317458809
4250	4.275724462
4300	4.237524965
4350	4.19907038
4400	4.162412363
4450	4.122962549
4500	4.090134459
4550	4.056698946
4600	4.02080277
4650	3.990075574
4700	3.955784753
4750	3.920991962
4800	3.885873673
4850	3.854528967
4900	3.820451182
4950	3.785305737
5000	3.752172479
5050	3.720414784
5100	3.69058122
5150	3.661013929
5200	3.631952774
5250	3.603951965
5300	3.571426226
5350	3.543757427
5400	3.515796093
5450	3.485235271
5500	3.459082101
5550	3.431863324
5600	3.404590015
5650	3.37766136
5700	3.351318426
5750	3.324097463
5800	3.299571073
5850	3.274464428
5900	3.248836111
5950	3.222089184
6000	3.193866536
6050	3.171047212
6100	3.144729173
6150	3.12088691
6200	3.096861911
6250	3.072245491
6300	3.049798745
6350	3.023801965
6400	3.000862423
6450	2.978595135
6500	2.955227277
6550	2.937041414
6600	2.917086835
6650	2.894569773
6700	2.874084456
6750	2.854805567
6800	2.833165498
6850	2.812885483
6900	2.79057802
6950	2.768822269
7000	2.748341893
7050	2.728698734
7100	2.708558189
7150	2.687428098
7200	2.666377762
7250	2.647431596
7300	2.627664046
7350	2.608820187
7400	2.589880201
7450	2.570272403
