iter	Passed	Remaining
406	5809	422430
407	5819	422091
408	5831	421939
409	5842	421665
410	5852	421346
411	5866	421288
412	5884	421529
413	5894	421213
414	5905	420989
415	5916	420767
416	5928	420576
417	5938	420236
418	5952	420212
419	5966	420188
420	5985	420554
421	6003	420764
422	6014	420569
423	6027	420453
424	6041	420397
425	6052	420145
426	6066	420141
427	6079	420066
428	6089	419751
429	6098	419353
430	6106	418943
431	6120	418920
432	6134	418903
433	6148	418887
434	6162	418863
435	6173	418619
436	6189	418752
437	6201	418530
438	6212	418356
439	6224	418186
440	6239	418211
441	6253	418217
442	6270	418370
443	6281	418164
444	6292	417950
445	6309	418074
446	6323	418093
447	6335	417935
448	6348	417845
449	6362	417786
450	6371	417429
451	6382	417218
452	6397	417285
453	6411	417279
454	6425	417243
455	6441	417351
456	6455	417298
457	6470	417340
458	6481	417135
459	6491	416869
460	6505	416840
461	6518	416786
462	6533	416835
463	6544	416615
464	6559	416607
465	6569	416334
466	6581	416205
467	6590	415891
468	6602	415707
469	6618	415822
470	6629	415609
471	6643	415633
472	6657	415591
473	6666	415294
474	6676	415018
475	6688	414826
476	6702	414864
477	6713	414666
478	6725	414510
479	6739	414509
480	6757	414699
481	6767	414435
482	6780	414360
483	6793	414268
484	6802	413990
485	6811	413664
486	6819	413299
487	6828	412946
488	6837	412662
489	6853	412731
490	6863	412491
491	6878	412516
492	6888	412279
493	6900	412178
494	6917	412336
495	6929	412203
496	6942	412098
497	6955	412034
498	6966	411841
499	6981	411916
500	6995	411910
501	7003	411551
502	7012	411246
503	7025	411186
504	7038	411068
505	7047	410778
506	7059	410640
507	7069	410444
508	7083	410421
509	7094	410211
510	7104	410010
511	7119	410025
512	7137	410278
513	7151	410279
514	7161	409988
515	7173	409890
516	7186	409802
517	7198	409730
518	7217	410007
519	7240	410478
520	7254	410480
521	7265	410304
522	7279	410282
523	7292	410206
524	7302	409995
525	7315	409895
526	7328	409839
527	7348	410192
528	7361	410142
529	7373	410008
530	7386	409924
531	7400	409926
532	7411	409742
533	7425	409729
534	7438	409680
535	7449	409498
536	7461	409364
537	7472	409190
538	7481	408918
539	7493	408834
540	7508	408886
541	7522	408838
542	7533	408674
543	7543	408441
544	7552	408156
545	7564	408076
546	7581	408226
547	7591	408009
548	7602	407818
549	7615	407759
550	7630	407845
551	7640	407593
552	7649	407333
553	7665	407443
554	7678	407387
555	7689	407227
556	7707	407442
557	7717	407185
558	7733	407328
559	7760	407982
560	7781	408355
561	7797	408433
562	7815	408648
563	7833	408859
564	7854	409194
565	7871	409367
566	7904	410302
567	7931	410974
568	7946	411034
569	7962	411091
570	7979	411235
571	7992	411203
572	8006	411192
573	8019	411095
574	8033	411129
575	8046	411025
576	8057	410878
577	8068	410716
578	8083	410727
579	8092	410479
580	8108	410567
581	8117	410316
582	8125	410013
583	8134	409745
584	8145	409558
585	8158	409527
586	8172	409488
587	8187	409551
588	8198	409404
589	8212	409394
590	8226	409377
591	8240	409345
592	8252	409228
593	8266	409227
594	8282	409300
595	8292	409103
596	8304	409019
597	8316	408906
598	8330	408874
599	8344	408886
600	8370	409464
601	8380	409244
602	8390	409046
603	8401	408893
604	8415	408882
605	8432	409023
606	8447	409065
607	8461	409040
608	8473	408939
609	8486	408859
610	8500	408861
611	8512	408783
612	8524	408650
613	8535	408527
614	8550	408531
615	8565	408568
616	8582	408720
617	8604	409084
618	8620	409195
619	8632	409081
620	8647	409093
621	8663	409206
622	8675	409098
623	8690	409105
624	8707	409264
625	8728	409587
626	8742	409569
627	8760	409746
628	8774	409719
629	8794	409996
630	8806	409879
631	8817	409753
632	8833	409818
633	8854	410128
634	8869	410178
635	8886	410293
636	8910	410713
637	8933	411142
638	8945	411038
639	8958	410982
640	8972	410940
641	8983	410820
642	8996	410757
643	9011	410785
644	9022	410648
645	9036	410623
646	9048	410492
647	9060	410407
648	9071	410279
649	9090	410453
650	9104	410462
651	9114	410254
652	9123	410039
653	9133	409836
654	9142	409619
655	9158	409674
656	9175	409814
657	9189	409797
658	9200	409652
659	9216	409695
660	9226	409513
661	9238	409418
662	9251	409380
663	9266	409393
664	9277	409266
665	9294	409367
666	9305	409219
667	9316	409088
668	9325	408879
669	9339	408831
670	9356	408984
671	9369	408923
672	9392	409299
673	9405	409216
674	9416	409085
675	9428	408991
676	9439	408862
677	9450	408694
678	9464	408686
679	9477	408626
680	9487	408446
681	9499	408387
682	9513	408374
683	9528	408406
684	9540	408296
685	9559	408514
686	9573	408478
687	9586	408420
688	9599	408370
689	9613	408384
690	9626	408317
691	9637	408170
692	9646	407961
693	9662	408016
694	9672	407863
695	9684	407730
696	9698	407760
697	9712	407730
698	9724	407620
699	9735	407488
700	9745	407312
701	9755	407159
702	9765	406954
703	9777	406861
704	9788	406742
705	9808	406981
706	9822	406983
707	9835	406905
708	9847	406840
709	9861	406833
710	9881	407053
711	9894	407013
712	9908	407004
713	9923	407045
714	9935	406935
715	9947	406855
716	9967	407078
717	9986	407296
718	10005	407477
719	10020	407491
720	10034	407502
721	10049	407526
722	10061	407442
723	10076	407447
724	10093	407551
725	10106	407499
726	10122	407599
727	10148	408057
728	10165	408178
729	10183	408334
730	10203	408546
731	10225	408832
732	10238	408784
733	10256	408958
734	10267	408801
735	10278	408698
736	10294	408744
737	10308	408726
738	10320	408630
739	10336	408697
740	10360	409089
741	10373	409030
742	10384	408926
743	10395	408783
744	10413	408909
745	10424	408809
746	10435	408679
747	10449	408628
748	10461	408564
749	10474	408491
750	10484	408321
751	10495	408190
752	10510	408252
753	10521	408098
754	10532	407978
755	10545	407915
756	10557	407830
757	10568	407709
758	10584	407759
759	10598	407761
760	10612	407765
761	10624	407671
762	10637	407624
763	10652	407624
764	10667	407663
765	10678	407555
766	10689	407427
767	10699	407262
768	10709	407078
769	10718	406880
770	10728	406708
771	10740	406639
772	10756	406720
773	10773	406791
774	10787	406779
775	10805	406915
776	10822	407018
777	10834	406949
778	10852	407073
779	10867	407110
780	10885	407268
781	10901	407297
782	10913	407217
783	10926	407162
784	10939	407118
785	10952	407086
786	10969	407173
787	10983	407175
788	10995	407093
789	11009	407085
790	11020	406936
791	11035	406985
792	11049	406946
793	11062	406927
794	11075	406862
795	11094	407045
796	11105	406901
797	11114	406712
798	11125	406598
799	11138	406556
800	11149	406445
801	11161	406364
802	11171	406203
803	11185	406197
804	11197	406109
805	11210	406040
806	11221	405939
807	11241	406158
808	11256	406154
809	11271	406184
810	11287	406256
811	11300	406188
812	11312	406105
813	11325	406085
814	11344	406259
815	11371	406709
816	11384	406650
817	11397	406591
818	11410	406545
819	11424	406560
820	11439	406563
821	11452	406534
822	11462	406358
823	11472	406221
824	11485	406177
825	11499	406168
826	11510	406045
827	11519	405856
828	11530	405726
829	11544	405713
830	11553	405541
831	11570	405626
832	11584	405610
833	11596	405530
834	11606	405399
835	11616	405247
836	11627	405120
837	11639	405043
838	11652	405008
839	11663	404880
840	11675	404825
841	11687	404723
842	11702	404743
843	11715	404713
844	11726	404599
845	11737	404484
846	11749	404405
847	11759	404254
848	11770	404144
849	11782	404079
850	11792	403914
851	11800	403711
852	11809	403526
853	11822	403472
854	11834	403423
855	11844	403257
856	11859	403297
857	11874	403315
858	11886	403245
859	11900	403226
860	11913	403179
